year_month,monthly_count,monthly_avg_mag,monthly_max_mag,date,count_lag_1,avg_mag_lag_1,max_mag_lag_1,count_lag_3,avg_mag_lag_3,max_mag_lag_3,count_lag_6,avg_mag_lag_6,max_mag_lag_6,count_roll_3,avg_mag_roll_3,max_mag_roll_3,count_roll_6,avg_mag_roll_6,max_mag_roll_6,month,month_sin,month_cos,next_month_count,next_month_max_mag
1980-07,1,5.4,5.4,1980-07-01,1.0,4.6,4.6,1.0,4.5,4.5,2.0,4.8,5.0,1.3333333333333333,5.05,5.3,1.3333333333333333,4.933333333333334,5.066666666666666,7,-0.4999999999999997,-0.8660254037844388,1.0,4.8
1980-08,1,4.8,4.8,1980-08-01,1.0,5.4,5.4,2.0,5.15,5.9,1.0,5.2,5.2,1.0,4.933333333333334,4.933333333333334,1.3333333333333333,4.866666666666666,5.0,8,-0.8660254037844384,-0.5000000000000004,1.0,4.7
1980-09,1,4.7,4.7,1980-09-01,1.0,4.8,4.8,1.0,4.6,4.6,2.0,4.75,4.8,1.0,4.966666666666667,4.966666666666667,1.1666666666666667,4.858333333333333,4.983333333333333,9,-1.0,-1.8369701987210297e-16,1.0,4.7
1980-10,1,4.7,4.7,1980-10-01,1.0,4.7,4.7,1.0,5.4,5.4,1.0,4.5,4.5,1.0,4.733333333333333,4.733333333333333,1.1666666666666667,4.891666666666667,5.016666666666667,10,-0.8660254037844386,0.5000000000000001,1.0,4.5
1981-06,1,4.5,4.5,1981-06-01,1.0,4.7,4.7,1.0,4.8,4.8,2.0,5.15,5.9,1.0,4.633333333333333,4.633333333333333,1.0,4.783333333333334,4.783333333333333,6,1.2246467991473532e-16,-1.0,1.0,4.5
1981-08,1,4.5,4.5,1981-08-01,1.0,4.5,4.5,1.0,4.7,4.7,1.0,4.6,4.6,1.0,4.566666666666666,4.566666666666666,1.0,4.766666666666667,4.766666666666667,8,-0.8660254037844384,-0.5000000000000004,1.0,4.8
1982-05,1,4.8,4.8,1982-05-01,1.0,4.5,4.5,1.0,4.7,4.7,1.0,5.4,5.4,1.0,4.6000000000000005,4.6000000000000005,1.0,4.666666666666667,4.666666666666667,5,0.49999999999999994,-0.8660254037844387,1.0,4.5
1982-06,1,4.5,4.5,1982-06-01,1.0,4.8,4.8,1.0,4.5,4.5,1.0,4.8,4.8,1.0,4.6000000000000005,4.6000000000000005,1.0,4.616666666666667,4.616666666666666,6,1.2246467991473532e-16,-1.0,1.0,4.6
1982-08,1,4.6,4.6,1982-08-01,1.0,4.5,4.5,1.0,4.5,4.5,1.0,4.7,4.7,1.0,4.633333333333334,4.633333333333334,1.0,4.6,4.6000000000000005,8,-0.8660254037844384,-0.5000000000000004,1.0,5.0
1982-11,1,5.0,5.0,1982-11-01,1.0,4.6,4.6,1.0,4.8,4.8,1.0,4.7,4.7,1.0,4.7,4.7,1.0,4.6499999999999995,4.6499999999999995,11,-0.5000000000000004,0.8660254037844384,1.0,5.8
1982-12,1,5.8,5.8,1982-12-01,1.0,5.0,5.0,1.0,4.5,4.5,1.0,4.5,4.5,1.0,5.133333333333333,5.133333333333333,1.0,4.866666666666666,4.866666666666666,12,-2.4492935982947064e-16,1.0,1.0,4.8
1983-03,1,4.8,4.8,1983-03-01,1.0,5.8,5.8,1.0,4.6,4.6,1.0,4.5,4.5,1.0,5.2,5.2,1.0,4.916666666666667,4.916666666666667,3,1.0,6.123233995736766e-17,1.0,4.8
1983-06,1,4.8,4.8,1983-06-01,1.0,4.8,4.8,1.0,5.0,5.0,1.0,4.8,4.8,1.0,5.133333333333333,5.133333333333333,1.0,4.916666666666667,4.916666666666667,6,1.2246467991473532e-16,-1.0,1.0,4.1
1983-09,1,4.1,4.1,1983-09-01,1.0,4.8,4.8,1.0,5.8,5.8,1.0,4.5,4.5,1.0,4.566666666666666,4.566666666666666,1.0,4.8500000000000005,4.85,9,-1.0,-1.8369701987210297e-16,1.0,4.9
1983-10,1,4.9,4.9,1983-10-01,1.0,4.1,4.1,1.0,4.8,4.8,1.0,4.6,4.6,1.0,4.6000000000000005,4.6000000000000005,1.0,4.8999999999999995,4.9,10,-0.8660254037844386,0.5000000000000001,1.0,4.8
1983-12,1,4.8,4.8,1983-12-01,1.0,4.9,4.9,1.0,4.8,4.8,1.0,5.0,5.0,1.0,4.6,4.6,1.0,4.866666666666666,4.866666666666666,12,-2.4492935982947064e-16,1.0,1.0,4.4
1984-08,1,4.4,4.4,1984-08-01,1.0,4.8,4.8,1.0,4.1,4.1,1.0,5.8,5.8,1.0,4.7,4.7,1.0,4.633333333333333,4.633333333333334,8,-0.8660254037844384,-0.5000000000000004,1.0,5.0
1984-10,1,5.0,5.0,1984-10-01,1.0,4.4,4.4,1.0,4.9,4.9,1.0,4.8,4.8,1.0,4.733333333333333,4.733333333333333,1.0,4.666666666666667,4.666666666666667,10,-0.8660254037844386,0.5000000000000001,1.0,4.1
1985-03,1,4.1,4.1,1985-03-01,1.0,5.0,5.0,1.0,4.8,4.8,1.0,4.8,4.8,1.0,4.5,4.5,1.0,4.55,4.55,3,1.0,6.123233995736766e-17,1.0,4.3
1985-05,1,4.3,4.3,1985-05-01,1.0,4.1,4.1,1.0,4.4,4.4,1.0,4.1,4.1,1.0,4.466666666666666,4.466666666666666,1.0,4.583333333333333,4.583333333333333,5,0.49999999999999994,-0.8660254037844387,2.0,4.7
1985-08,2,4.7,4.7,1985-08-01,1.0,4.3,4.3,1.0,5.0,5.0,1.0,4.9,4.9,1.3333333333333333,4.366666666666666,4.366666666666666,1.1666666666666667,4.55,4.55,8,-0.8660254037844384,-0.5000000000000004,1.0,5.0
